Hour of Entry Date and Time,Weekday of Entry Date and Time,Avg. Processing Minutes,Number of Records
23,Monday,1.405701754,646
22,Monday,1.207862039,778
21,Monday,1.151025354,894
20,Monday,1.095049823,1037
19,Monday,1.08132716,1080
18,Monday,1.145292159,1101
17,Monday,1.117542349,1161
16,Monday,1.079802613,1199
15,Monday,1.108711485,1190
14,Monday,1.070122298,1172
13,Monday,1.091854024,1023
12,Monday,1.118158436,972
11,Monday,0.995914239,824
10,Monday,0.921471471,777
9,Monday,1.112991939,703
8,Monday,1.309868766,635
7,Monday,1.374367089,474
6,Monday,1.624097007,323
5,Monday,1.66307311,269
4,Monday,1.711767531,347
3,Monday,1.784961686,348
2,Monday,1.685820413,516
1,Monday,1.634178038,513
0,Monday,1.50545977,580
23,Tuesday,1.377402402,666
22,Tuesday,1.220470085,780
21,Tuesday,1.170074074,900
20,Tuesday,1.090342052,994
19,Tuesday,1.125998225,1127
18,Tuesday,1.113139825,1068
17,Tuesday,1.12556719,1146
16,Tuesday,1.073875115,1089
15,Tuesday,1.087820513,1222
14,Tuesday,1.10030303,1100
13,Tuesday,1.062616202,1004
12,Tuesday,1.056713194,1003
11,Tuesday,0.993388889,900
10,Tuesday,0.949936061,782
9,Tuesday,1.128465461,719
8,Tuesday,1.339908257,654
7,Tuesday,1.484087644,464
6,Tuesday,1.614995224,349
5,Tuesday,1.660866911,273
4,Tuesday,1.762362637,364
3,Tuesday,1.791644679,379
2,Tuesday,1.660310219,548
1,Tuesday,1.639882006,565
0,Tuesday,1.482405745,557
23,Wednesday,1.356311946,639
22,Wednesday,1.172890819,806
21,Wednesday,1.175893887,867
20,Wednesday,1.115699549,1034
19,Wednesday,1.092604453,1093
18,Wednesday,1.097712979,1166
17,Wednesday,1.118086081,1092
16,Wednesday,1.139749931,1213
15,Wednesday,1.11611336,1235
14,Wednesday,1.11010669,1156
13,Wednesday,1.070089903,964
12,Wednesday,1.03442029,966
11,Wednesday,1.006677584,916
10,Wednesday,0.962226353,807
9,Wednesday,1.210305518,731
8,Wednesday,1.250175968,663
7,Wednesday,1.540562613,551
6,Wednesday,1.544680851,423
5,Wednesday,1.695571096,286
4,Wednesday,1.70969697,330
3,Wednesday,1.62329888,387
2,Wednesday,1.681399097,517
1,Wednesday,1.639334424,611
0,Wednesday,1.471538871,626
23,Thursday,1.338022352,686
22,Thursday,1.182895888,762
21,Thursday,1.097155361,914
20,Thursday,1.072743923,1001
19,Thursday,1.11663489,1049
18,Thursday,1.096337172,1042
17,Thursday,1.092139805,1092
16,Thursday,1.09955157,1115
15,Thursday,1.107399836,1223
14,Thursday,1.105885941,1093
13,Thursday,1.073292414,1059
12,Thursday,1.045046495,932
11,Thursday,1.035090909,825
10,Thursday,0.92054936,807
9,Thursday,1.170222854,703
8,Thursday,1.264651741,670
7,Thursday,1.39400641,520
6,Thursday,1.65813253,332
5,Thursday,1.614505119,293
4,Thursday,1.671600877,304
3,Thursday,1.66313933,378
2,Thursday,1.672696351,539
1,Thursday,1.610127991,599
0,Thursday,1.518071951,593
23,Friday,1.335445757,931
22,Friday,1.150816327,980
21,Friday,1.10589491,1015
20,Friday,1.090587867,1066
19,Friday,1.096965848,1181
18,Friday,1.105890168,1129
17,Friday,1.081587441,1136
16,Friday,1.071224951,1181
15,Friday,1.057486559,1240
14,Friday,1.085613884,1162
13,Friday,1.06480737,995
12,Friday,1.05943304,1023
11,Friday,0.917424242,924
10,Friday,0.91955684,865
9,Friday,1.118071768,771
8,Friday,1.273269041,674
7,Friday,1.405480335,517
6,Friday,1.652836879,376
5,Friday,1.659205426,344
4,Friday,1.843555556,300
3,Friday,1.632644928,460
2,Friday,1.609789644,618
1,Friday,1.651963907,628
0,Friday,1.521155831,646
23,Saturday,1.334210526,969
22,Saturday,1.080469289,966
21,Saturday,1.066746872,1039
20,Saturday,1.061933622,1155
19,Saturday,1.091817683,1214
18,Saturday,1.083571618,1259
17,Saturday,1.096124349,1217
16,Saturday,1.088832914,1191
15,Saturday,1.056151645,1165
14,Saturday,1.066470766,1106
13,Saturday,1.050877193,1121
12,Saturday,1.010214505,979
11,Saturday,0.904730473,909
10,Saturday,0.887934028,768
9,Saturday,1.111802575,699
8,Saturday,1.290513719,571
7,Saturday,1.411033411,429
6,Saturday,1.601388889,408
5,Saturday,1.686819484,349
4,Saturday,1.710031226,427
3,Saturday,1.650133761,623
2,Saturday,1.603087798,896
1,Saturday,1.6125,996
0,Saturday,1.429359112,931
23,Sunday,1.369320776,584
22,Sunday,1.185908354,822
21,Sunday,1.080175816,929
20,Sunday,1.059572879,1116
19,Sunday,1.107347973,1184
18,Sunday,1.126934404,1245
17,Sunday,1.102092404,1378
16,Sunday,1.107316407,1221
15,Sunday,1.078910761,1270
14,Sunday,1.095590829,1134
13,Sunday,1.063327423,1128
12,Sunday,1.088409392,1008
11,Sunday,0.926905921,822
10,Sunday,0.920352564,728
9,Sunday,1.059710857,611
8,Sunday,1.266464646,495
7,Sunday,1.356440281,427
6,Sunday,1.603927492,331
5,Sunday,1.639209726,329
4,Sunday,1.734350548,426
3,Sunday,1.643489149,599
2,Sunday,1.599436818,947
1,Sunday,1.489404297,1024
0,Sunday,1.44496124,903