Call Type,Hour of Entry Date and Time,Weekday of Entry Date and Time,Avg. Processing Minutes,Number of Records
Traffic Collision,23,Monday,1.192293907,186
Traffic Collision,22,Monday,1.251202749,291
Traffic Collision,21,Monday,1.167569002,314
Traffic Collision,20,Monday,1.104901961,408
Traffic Collision,19,Monday,1.098248906,533
Traffic Collision,18,Monday,1.082511211,669
Traffic Collision,17,Monday,1.109772423,747
Traffic Collision,16,Monday,1.048887203,659
Traffic Collision,15,Monday,1.093585781,647
Traffic Collision,14,Monday,1.048144876,566
Traffic Collision,13,Monday,1.043540524,547
Traffic Collision,12,Monday,1.003684573,484
Traffic Collision,11,Monday,0.845497458,459
Traffic Collision,10,Monday,0.941588785,428
Traffic Collision,9,Monday,1.077146721,493
Traffic Collision,8,Monday,1.1375,584
Traffic Collision,7,Monday,1.373803419,390
Traffic Collision,6,Monday,1.607479675,205
Traffic Collision,5,Monday,1.83025641,130
Traffic Collision,4,Monday,1.747849462,62
Traffic Collision,3,Monday,1.65862069,87
Traffic Collision,2,Monday,1.67969697,165
Traffic Collision,1,Monday,1.424884259,144
Traffic Collision,0,Monday,1.376887661,181
Traffic Collision,23,Tuesday,1.322733918,228
Traffic Collision,22,Tuesday,1.080869565,345
Traffic Collision,21,Tuesday,1.116462418,408
Traffic Collision,20,Tuesday,1.105469327,451
Traffic Collision,19,Tuesday,1.165664376,582
Traffic Collision,18,Tuesday,1.124827446,821
Traffic Collision,17,Tuesday,1.029314964,871
Traffic Collision,16,Tuesday,1.053371593,697
Traffic Collision,15,Tuesday,1.051922207,737
Traffic Collision,14,Tuesday,1.014253265,587
Traffic Collision,13,Tuesday,1.033238095,525
Traffic Collision,12,Tuesday,1.010493827,486
Traffic Collision,11,Tuesday,0.925496689,453
Traffic Collision,10,Tuesday,0.890442338,422
Traffic Collision,9,Tuesday,1.137285793,603
Traffic Collision,8,Tuesday,1.19607438,726
Traffic Collision,7,Tuesday,1.331176901,456
Traffic Collision,6,Tuesday,1.578582931,207
Traffic Collision,5,Tuesday,1.598525074,113
Traffic Collision,4,Tuesday,1.474333333,50
Traffic Collision,3,Tuesday,1.538251366,61
Traffic Collision,2,Tuesday,1.747596154,104
Traffic Collision,1,Tuesday,1.390070922,94
Traffic Collision,0,Tuesday,1.403007519,133
Traffic Collision,23,Wednesday,1.321992481,266
Traffic Collision,22,Wednesday,1.229388298,376
Traffic Collision,21,Wednesday,1.091358025,405
Traffic Collision,20,Wednesday,1.060295176,463
Traffic Collision,19,Wednesday,0.996809896,512
Traffic Collision,18,Wednesday,1.14871633,792
Traffic Collision,17,Wednesday,1.168091845,842
Traffic Collision,16,Wednesday,1.071988389,689
Traffic Collision,15,Wednesday,1.064006833,683
Traffic Collision,14,Wednesday,1.002153558,534
Traffic Collision,13,Wednesday,1.05834939,519
Traffic Collision,12,Wednesday,1.053652968,511
Traffic Collision,11,Wednesday,0.876821862,494
Traffic Collision,10,Wednesday,0.932392777,443
Traffic Collision,9,Wednesday,1.03373913,575
Traffic Collision,8,Wednesday,1.247045245,722
Traffic Collision,7,Wednesday,1.394877857,423
Traffic Collision,6,Wednesday,1.481004367,229
Traffic Collision,5,Wednesday,1.483333333,113
Traffic Collision,4,Wednesday,1.441503268,51
Traffic Collision,3,Wednesday,1.442916667,80
Traffic Collision,2,Wednesday,1.507534247,146
Traffic Collision,1,Wednesday,1.60787037,144
Traffic Collision,0,Wednesday,1.47752809,178
Traffic Collision,23,Thursday,1.299310345,290
Traffic Collision,22,Thursday,1.201320583,366
Traffic Collision,21,Thursday,1.073914824,407
Traffic Collision,20,Thursday,1.068495077,474
Traffic Collision,19,Thursday,1.143419434,542
Traffic Collision,18,Thursday,1.141855109,796
Traffic Collision,17,Thursday,1.102625298,838
Traffic Collision,16,Thursday,1.062207792,770
Traffic Collision,15,Thursday,1.137421837,693
Traffic Collision,14,Thursday,1.046156156,555
Traffic Collision,13,Thursday,1.011787819,509
Traffic Collision,12,Thursday,1.040454266,543
Traffic Collision,11,Thursday,0.913548387,465
Traffic Collision,10,Thursday,0.973295019,435
Traffic Collision,9,Thursday,1.215822389,533
Traffic Collision,8,Thursday,1.173067076,651
Traffic Collision,7,Thursday,1.391356674,457
Traffic Collision,6,Thursday,1.604593176,254
Traffic Collision,5,Thursday,1.522507123,117
Traffic Collision,4,Thursday,1.874047619,70
Traffic Collision,3,Thursday,1.644078947,76
Traffic Collision,2,Thursday,1.726811594,161
Traffic Collision,1,Thursday,1.541666667,142
Traffic Collision,0,Thursday,1.41592775,203
Traffic Collision,23,Friday,1.240007994,417
Traffic Collision,22,Friday,1.218731026,549
Traffic Collision,21,Friday,1.048685076,507
Traffic Collision,20,Friday,1.107403846,520
Traffic Collision,19,Friday,1.126358297,681
Traffic Collision,18,Friday,1.079929988,857
Traffic Collision,17,Friday,1.090315053,857
Traffic Collision,16,Friday,1.10987013,770
Traffic Collision,15,Friday,1.038956916,735
Traffic Collision,14,Friday,0.992113095,672
Traffic Collision,13,Friday,1.119133678,581
Traffic Collision,12,Friday,0.970884235,573
Traffic Collision,11,Friday,0.900143678,464
Traffic Collision,10,Friday,0.841939891,488
Traffic Collision,9,Friday,0.970318841,575
Traffic Collision,8,Friday,1.158305921,608
Traffic Collision,7,Friday,1.291666667,396
Traffic Collision,6,Friday,1.530273752,207
Traffic Collision,5,Friday,1.722977346,103
Traffic Collision,4,Friday,1.646031746,84
Traffic Collision,3,Friday,1.662533333,125
Traffic Collision,2,Friday,1.456502242,223
Traffic Collision,1,Friday,1.391100324,206
Traffic Collision,0,Friday,1.374728682,215
Traffic Collision,23,Saturday,1.282657658,444
Traffic Collision,22,Saturday,1.190733057,482
Traffic Collision,21,Saturday,1.062688615,486
Traffic Collision,20,Saturday,1.124933333,500
Traffic Collision,19,Saturday,1.095129225,503
Traffic Collision,18,Saturday,1.125217614,651
Traffic Collision,17,Saturday,1.190756542,586
Traffic Collision,16,Saturday,1.112069892,620
Traffic Collision,15,Saturday,1.131127451,680
Traffic Collision,14,Saturday,1.066857923,610
Traffic Collision,13,Saturday,1.099634009,592
Traffic Collision,12,Saturday,0.966666667,558
Traffic Collision,11,Saturday,0.932059021,497
Traffic Collision,10,Saturday,0.916036944,397
Traffic Collision,9,Saturday,1.027777778,348
Traffic Collision,8,Saturday,1.170507246,230
Traffic Collision,7,Saturday,1.330555556,186
Traffic Collision,6,Saturday,1.56655914,155
Traffic Collision,5,Saturday,1.641060606,110
Traffic Collision,4,Saturday,1.772611465,157
Traffic Collision,3,Saturday,1.750968992,258
Traffic Collision,2,Saturday,1.447246892,563
Traffic Collision,1,Saturday,1.514236999,391
Traffic Collision,0,Saturday,1.469555035,427
Traffic Collision,23,Sunday,1.314247312,248
Traffic Collision,22,Sunday,1.209224319,318
Traffic Collision,21,Sunday,1.065062389,374
Traffic Collision,20,Sunday,1.235640414,419
Traffic Collision,19,Sunday,1.047470547,481
Traffic Collision,18,Sunday,1.047366846,557
Traffic Collision,17,Sunday,1.096188943,621
Traffic Collision,16,Sunday,1.050056211,593
Traffic Collision,15,Sunday,1.107570208,546
Traffic Collision,14,Sunday,1.047191358,540
Traffic Collision,13,Sunday,1.040769231,520
Traffic Collision,12,Sunday,0.9920653,439
Traffic Collision,11,Sunday,1.003909465,405
Traffic Collision,10,Sunday,0.837271854,347
Traffic Collision,9,Sunday,1.14454023,290
Traffic Collision,8,Sunday,1.250173611,192
Traffic Collision,7,Sunday,1.423056995,193
Traffic Collision,6,Sunday,1.657909605,118
Traffic Collision,5,Sunday,1.455026455,126
Traffic Collision,4,Sunday,1.572717622,157
Traffic Collision,3,Sunday,1.616171004,269
Traffic Collision,2,Sunday,1.519777341,509
Traffic Collision,1,Sunday,1.407714521,404
Traffic Collision,0,Sunday,1.344402357,396